"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.","2","['signals', 'signal']","['positive', 'negative']"
"The feel of this is better than the Toshiba, too.","1","['feel']","['positive']"
"I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!","1","['quality']","['positive']"
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.","4","['memory', 'Windows 7 Starter', 'Win 7 Home', 'runs']","['neutral', 'neutral', 'neutral', 'positive']"
"I am not sure if it was the drive itself, however;","1","['drive']","['neutral']"
"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.","2","['edges', 'incase shells']","['negative', 'positive']"
"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.","3","['use', 'keyboard', 'weight']","['positive', 'positive', 'positive']"
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!","2","['shipping', 'repair center']","['negative', 'neutral']"
"I should have checked this before I installed my applications.","1","['applications']","['neutral']"
"The battery is really long.","1","['battery']","['positive']"
"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.","2","['DVD burner', 'power supply']","['negative', 'negative']"
"Had some trouble finding a case that it would fit in.","1","['case']","['negative']"
"This computer that I have has had issues with the keyboard where it lost half the keyboard functions.","2","['keyboard', 'keyboard functions']","['negative', 'negative']"
"Comes with iMovie;","1","['iMovie']","['positive']"
"COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.","1","['SERVICE FACILITY']","['negative']"
"When I called Sony the Customer Service was Great.","1","['Customer Service']","['positive']"
"  even though I had the receipt in front of me proving it still had 2 months left on the warranty.","1","['warranty']","['negative']"
"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.","3","['system', 'programs', 'using the internet']","['positive', 'neutral', 'neutral']"
"My computer froze on several occasion, had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all.","1","['buttons']","['negative']"
"Not even safe mode boots.","1","['safe mode']","['negative']"
"This is an over-sized, 18-inch laptop.","1","['18-inch']","['negative']"
"I had to pay $100 for a universal charger for this cheap $300 laptop.","1","['universal charger']","['negative']"
"The powerpoint opened seamlessly in the apple and the mac hooked up to the projector so easily it was almost scary.","1","['powerpoint']","['positive']"
"1.You can not change your desktop background (window's 7 starter does NOT support that function).","3","['desktop background', ""window's 7 starter"", 'function']","['negative', 'negative', 'negative']"
"Took me 11 hours, 3 trips to different FedEx offices, and brutal conversations with 14 of the worse IT support technicians in the world.","1","['IT support technicians']","['negative']"
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.","2","['charger', 'hardware']","['negative', 'negative']"
"As usual at customer service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).","1","['customer service center']","['negative']"
"The screen gets smeary and dusty very quickly and it's very noticeable.","1","['screen']","['negative']"
"Strengths:Well-shaped Weaknesses:A bad videocard!","2","['shaped', 'videocard']","['positive', 'negative']"
"You can't even get a satellite card which is why I bought to begin with.","1","['satellite card']","['negative']"
"The battery life, before the battery completely died of course, left much to be desired.","2","['battery life', 'battery']","['negative', 'negative']"
"It is a REAL touchpad, not the toy I saw in other brands.","1","['touchpad']","['positive']"
"Long story, but after many calls to various  offices, I was told that no one can override the depot and that managers  don't take phone calls or e/mails.","1","['depot']","['neutral']"
"Price and purpose is awesome!","1","['Price']","['positive']"
"Wonderful zooming.","1","['zooming']","['positive']"
"The screen is huge and coloful, but no LED backlighting.","1","['screen']","['positive']"
"In all honesty, if someone is looking for a quality laptop and willing to pay a little more money for a normal sized laptop than a cheaper and less impressive laptop, then do not buy this computer.","1","['sized']","['neutral']"
"Everything about this computer is easy to use.","1","['use']","['positive']"
"  Worse, for the price I could get a *netbook* that outperforms this machine.","1","['price']","['negative']"
"It had most of the features and all of the power that I wanted to replace my desktop machine.","2","['features', 'power']","['positive', 'positive']"
"Keyboard was also very nice and had a solid feel.","1","['Keyboard']","['positive']"
